State,Ph.D. - Male,Ph.D. - Female,Ph.D. - Total,Post Graduate - Male,Post Graduate - Female,Post Graduate - Total,Under Graduate - Male,Under Graduate - Female,Under Graduate - Total,Grand Total - Male,Grand Total - Female,Grand Total - Total
Andaman and Nicobar Islands,15,1,16,397,413,810,2209,2650,4859,2621,3064,5685
Andhra Pradesh,5435,2777,8212,269000,189704,458704,1288425,926149,2214574,1562860,1118630,2681490
Arunachal Pradesh,773,278,1051,2740,1906,4646,21231,12170,33401,24744,14354,39098
Assam,1092,715,1807,21156,12176,33332,232042,225872,457914,254290,238763,493053
Bihar,1218,411,1629,64270,33256,97526,699123,471039,1170162,764611,504706,1269317
Chandigarh,274,298,572,12342,7093,19435,20749,15831,36580,33365,23222,56587
Chhatisgarh,234,270,504,20159,17000,37159,193786,135248,329034,214179,152518,366697
Dadra and Nagar Haveli,0,0,0,95,24,119,409,493,902,504,517,1021
Daman and Diu,0,0,0,0,0,0,356,456,812,356,456,812
Delhi,3929,3195,7124,75069,54039,129108,283548,238843,522391,362546,296077,658623
Goa,8,7,15,12650,9554,22204,15499,20363,35862,28157,29924,58081
Gujarat,1798,914,2712,87862,61810,149672,622038,490768,1112806,711698,553492,1265190
Haryana,1132,1106,2238,44635,49767,94402,343731,239957,583688,389498,290830,680328
Himachal Pradesh,445,231,676,9982,11229,21211,83460,81887,165347,93887,93347,187234
Jammu and Kashmir,311,262,573,13028,11881,24909,124864,111958,236822,138203,124101,262304
Jharkhand,89,24,113,17409,14837,32246,165921,129007,294928,183419,143868,327287
Karnataka,5317,2621,7938,116459,93054,209513,692571,618497,1311068,814347,714172,1528519
Kerala,1418,1451,2869,38359,57452,95811,241664,308449,550113,281441,367352,648793
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1183,1956,3139,84497,68527,153024,540701,383240,923941,626381,453723,1080104
Maharashtra,3790,1595,5385,233783,173789,407572,1625557,1168563,2794120,1863130,1343947,3207077
Manipur,445,417,862,3313,2290,5603,62690,53923,116613,66448,56630,123078
Meghalaya,354,412,766,1989,2649,4638,25332,31535,56867,27675,34596,62271
Mizoram,34,29,63,1814,1527,3341,12971,11656,24627,14819,13212,28031
Nagaland,76,81,157,9317,1158,10475,24356,19645,44001,33749,20884,54633
Odisha,367,162,529,31120,19246,50366,343844,299836,643680,375331,319244,694575
Puducherry,2147,1287,3434,1751,1485,3236,16868,18912,35780,20766,21684,42450
Punjab,892,1020,1912,44054,34626,78680,286928,167240,454168,331874,202886,534760
Rajasthan,2193,1433,3626,73513,61561,135074,804731,513469,1318200,880437,576463,1456900
Sikkim,0,0,0,3849,1092,4941,6169,6784,12953,10018,7876,17894
Tamil Nadu,4925,3070,7995,201662,187009,388671,810432,764762,1575194,1017019,954841,1971860
Tripura,81,30,111,8386,5775,14161,27930,17983,45913,36397,23788,60185
Uttar Pradesh,4207,2105,6312,169768,153618,323386,1748821,1763988,3512809,1922796,1919711,3842507
Uttrakhand,1821,832,2653,26891,27785,54676,125669,137719,263388,154381,166336,320717
West Bengal,2004,847,2851,112673,88345,201018,622886,465857,1088743,737563,555049,1292612
Telegana,5435,2777,8212,269000,189704,458704,1288425,926149,2214574,1562860,1118630,2681490
